"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1","20.9","19.5","17.8","16.1","14.3","12.8","11.4","10.2","9.2","8.2","7.1","6.8","6.7","6.7","6.5","6.4","6.3","","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1","26.5","26.6","31.8","34.1","36.7","35.5","35.6","35.5","33.7","33","31.2","29.4","25.8","25.3","25.9","27.4","28","","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","9.1","9.8","10.7","11.3","11.5","11.1","11.4","11.9","12.2","11.3","9.6","8.4","7.3","6.6","5.8","5.5","5.5","","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","14.5","13.2","11.4","11.1","11.5","12.4","13.2","15.1","15.9","16.5","16.1","16.6","17.1","17.6","17.5","17.9","18.5","","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","5.1","5.3","5.1","4.5","4","3.9","4","4.1","3.9","3.9","3.8","4.1","4.2","3.9","3.5","3.2","3.2","","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2770320235836","8.05197602292206","8.18886880644195","8.25737064380241","8.30435110783025","8.18076419123851","8.40931038349166","8.58663490061697","8.77331606759924","8.62488269035915","8.5039092289236","8.36646009074426","8.18075214603837","7.93740921018293","7.94239133027412","7.75546546536777","7.64856345937609","7.26825425940605","","",
"Cuba","CUB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Curacao","CUW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","5.8","6.2","7","7.7","7.6","7","6.5","6.4","6.3","6.2","6.3","6.6","6.9","7.3","7.3","7.1","6.8","","",
"Czech Republic","CZE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Germany","DEU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Djibouti","DJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","4.1","4.7","5","5.5","5","4.6","4.1","4.4","4.7","5","5.1","5.2","5.3","5.3","5.4","5.7","5.8","","",
"Denmark","DNK","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Dominican Republic","DOM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","22.7","23.7","23.2","19.3","16.5","16.3","16.2","14.8","12.4","10.4","9.8","9","8.5","7.6","7","6","5.5","","",
"Algeria","DZA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7.4","7","7","6.7","6.4","6","5.6","5.2","4.5","4","3.5","3.3","3.3","3.2","3.2","3.1","2.8","","",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6729937951618","13.0984299947541","12.4590517908532","11.6035818968176","10.9735461833129","10.2532629996126","9.31613768999434","8.38073489646634","7.36892881030013","6.22746564745116","5.51622016017637","5.32557524474144","5.3626162577294","5.46797420706674","5.51776839943631","5.43600411302598","5.3765294159344","5.38360456375835","","",
"Early-demographic dividend","EAR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.469624539602","18.0301055564131","18.4893152492437","18.3145286440833","17.7490385427222","16.5243066800395","15.2715837798625","14.5855328749262","14.1261904628087","13.7454229349011","13.4467674418773","13.3089029986643","12.9552966721402","12.6172458180574","12.2609541415761","12.0624288899551","11.9501972277913","11.8889765035502","","",
"East Asia & Pacific","EAS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4476106060644","11.9478513400628","11.3865108830227","10.6296476739928","10.0706638896606","9.43306555968793","8.60401464271705","7.77159685895762","6.88276149622441","5.86352480513127","5.21718970582663","5.04598380810858","5.07773859411481","5.16968864752763","5.21518366707412","5.14236164874143","5.09032455172242","5.09546122344612","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.38587257820625","4.98014476432951","4.63478895642626","4.25970506036893","4.00113124220901","3.74500527246109","3.57938666167956","3.491186521702","3.43826691588734","3.3724978727338","3.29590151850049","3.21276499863568","3.02838553552255","2.85873740950537","2.74591439831786","2.71792566416306","2.80673901900177","2.82688513495249","","",
"Europe & Central Asia","ECS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77126164652413","3.58492597447231","3.43070750685923","3.26704377251336","3.15238528893643","3.04574067471246","2.97356431513075","2.93354791975536","2.90553952110689","2.87615268124913","2.84460960528848","2.81046791908243","2.73501674365447","2.67339516125414","2.63015378353992","2.62269784479462","2.65601956552805","2.66618846660436","","",
"Ecuador","ECU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2","22.9","22.9","22.9","22.5","22.9","22.2","21.4","19.3","18.3","17.6","17.6","14.9","11.7","8.8","8.9","9.1","8.8","","",
"Egypt, Arab Rep.","EGY","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","5.5","6","6.4","6.5","6.1","5.8","5.7","5.5","5.4","5.1","5.2","5","4.8","4.6","4.7","4.7","4.7","","",
"Euro area","EMU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58969067518951","2.58270898822917","2.5765309548588","2.57128121777511","2.56515950035973","2.56806983154007","2.56124577911722","2.55317283411122","2.53686217763795","2.53021999614644","2.52850240377842","2.52891711419322","2.53316291766011","2.55820562833745","2.56913718607983","2.58029825198885","2.56851842871149","2.57232034535745","","",
"Eritrea","ERI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Estonia","EST","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","3.5","3.4","2.9","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Ethiopia","ETH","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1","44.3","42.7","39.2","37.2","35.8","35.3","33.9","31.8","30.7","30.1","29.9","27.5","24.8","21.5","20.6","19.9","19.7","","",
"European Union","EUU","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.63924699508691","2.61692240044294","2.60737955128893","2.60421273017647","2.59147256053992","2.59677049084491","2.58432273773891","2.57447418432558","2.55842841931081","2.55483206632631","2.55336869129194","2.54850560018301","2.5417001361886","2.56069828858422","2.56571605946221","2.57737118091837","2.56191352965296","2.56319638448003","","",
"Fragile and conflict affected situations","FCS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5417939908128","21.8115651624487","20.9968768574848","20.0529664157186","19.0620327060593","18.1356125051771","16.9483869198409","16.0815036518771","15.2914960497838","14.874635912607","14.5380409828253","14.5444947069777","14.6769098140897","15.3569267239643","16.1996930119043","17.2192780491924","17.7612440864523","18.3540505145108","","",
"Finland","FIN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Fiji","FJI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3.9","4","3.9","3.8","3.8","3.8","4","4","4","3.8","3.5","3.6","3.9","4.1","4","3.9","3.9","","",
"France","FRA","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
"Faroe Islands","FRO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","12.3","13.5","14","14.5","14.9","16.1","16.9","17.5","17.3","17.3","17.5","16.2","14.9","14.1","15.1","15.9","16.6","","",
"United Kingdom","GBR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","","",
